record_type,run_id,started_utc,finished_utc,lo_edge_ms,hi_edge_ms,window_ms,no_seed,n_probes,pace_s,repeat,gap_db_write,gap_sse_handshake,gap_llm_round0,gap_mcp_read_document,gap_total_toctou_gap,delay_ms,http_code,outcome,leaked,duration_s,doc_id,error
summary,20260505_230820,2026-05-05T23:08:20.618759+00:00,2026-05-05T23:29:03.088618+00:00,0,462,462,false,144,5,10,9-16,7-43,409-433,5-7,453-504,,,,,,,
probe,20260505_230820,,,,,,,,,,,,,,,10,200,leak,true,4.549,561,
probe,20260505_230820,,,,,,,,,,,,,,,0,200,leak,true,4.363,562,
probe,20260505_230820,,,,,,,,,,,,,,,20,200,leak,true,4.374,563,
probe,20260505_230820,,,,,,,,,,,,,,,40,200,leak,true,4.37,564,
probe,20260505_230820,,,,,,,,,,,,,,,80,200,leak,true,2.687,565,
probe,20260505_230820,,,,,,,,,,,,,,,160,200,leak,true,4.362,566,
probe,20260505_230820,,,,,,,,,,,,,,,320,200,leak,true,4.357,567,
probe,20260505_230820,,,,,,,,,,,,,,,640,200,safe,false,1.999,568,
probe,20260505_230820,,,,,,,,,,,,,,,325,200,leak,true,4.399,569,
probe,20260505_230820,,,,,,,,,,,,,,,482,200,safe,false,3.098,570,
probe,20260505_230820,,,,,,,,,,,,,,,403,200,leak,true,2.575,571,
probe,20260505_230820,,,,,,,,,,,,,,,442,200,leak,true,4.367,572,
probe,20260505_230820,,,,,,,,,,,,,,,462,200,leak,true,4.371,573,
probe,20260505_230820,,,,,,,,,,,,,,,472,200,safe,false,3.108,574,
probe,20260505_230820,,,,,,,,,,,,,,,0,200,leak,true,2.585,575,
probe,20260505_230820,,,,,,,,,,,,,,,0,403,blocked,false,0.459,576,
probe,20260505_230820,,,,,,,,,,,,,,,0,403,blocked,false,0.468,577,
probe,20260505_230820,,,,,,,,,,,,,,,0,403,blocked,false,0.485,578,
probe,20260505_230820,,,,,,,,,,,,,,,0,403,blocked,false,0.459,579,
probe,20260505_230820,,,,,,,,,,,,,,,0,403,blocked,false,0.46,580,
probe,20260505_230820,,,,,,,,,,,,,,,0,403,blocked,false,0.466,581,
probe,20260505_230820,,,,,,,,,,,,,,,0,403,blocked,false,0.447,582,
probe,20260505_230820,,,,,,,,,,,,,,,0,403,blocked,false,0.455,583,
probe,20260505_230820,,,,,,,,,,,,,,,0,200,leak,true,4.396,584,
probe,20260505_230820,,,,,,,,,,,,,,,5,200,leak,true,4.407,585,
probe,20260505_230820,,,,,,,,,,,,,,,5,403,blocked,false,0.469,586,
probe,20260505_230820,,,,,,,,,,,,,,,5,403,blocked,false,0.457,587,
probe,20260505_230820,,,,,,,,,,,,,,,5,403,blocked,false,0.462,588,
probe,20260505_230820,,,,,,,,,,,,,,,5,403,blocked,false,0.471,589,
probe,20260505_230820,,,,,,,,,,,,,,,5,403,blocked,false,0.46,590,
probe,20260505_230820,,,,,,,,,,,,,,,5,403,blocked,false,0.464,591,
probe,20260505_230820,,,,,,,,,,,,,,,5,200,leak,true,2.562,592,
probe,20260505_230820,,,,,,,,,,,,,,,5,403,blocked,false,0.446,593,
probe,20260505_230820,,,,,,,,,,,,,,,5,403,blocked,false,0.471,594,
probe,20260505_230820,,,,,,,,,,,,,,,10,403,blocked,false,0.454,595,
probe,20260505_230820,,,,,,,,,,,,,,,10,403,blocked,false,0.464,596,
probe,20260505_230820,,,,,,,,,,,,,,,10,403,blocked,false,0.456,597,
probe,20260505_230820,,,,,,,,,,,,,,,10,403,blocked,false,0.466,598,
probe,20260505_230820,,,,,,,,,,,,,,,10,403,blocked,false,0.445,599,
probe,20260505_230820,,,,,,,,,,,,,,,10,200,leak,true,2.691,600,
probe,20260505_230820,,,,,,,,,,,,,,,10,403,blocked,false,0.461,601,
probe,20260505_230820,,,,,,,,,,,,,,,10,403,blocked,false,0.468,602,
probe,20260505_230820,,,,,,,,,,,,,,,10,403,blocked,false,0.469,603,
probe,20260505_230820,,,,,,,,,,,,,,,10,403,blocked,false,0.438,604,
probe,20260505_230820,,,,,,,,,,,,,,,236,200,leak,true,2.567,605,
probe,20260505_230820,,,,,,,,,,,,,,,236,200,leak,true,4.38,606,
probe,20260505_230820,,,,,,,,,,,,,,,236,200,leak,true,2.548,607,
probe,20260505_230820,,,,,,,,,,,,,,,236,200,leak,true,2.552,608,
probe,20260505_230820,,,,,,,,,,,,,,,236,200,leak,true,4.362,609,
probe,20260505_230820,,,,,,,,,,,,,,,236,200,leak,true,2.548,610,
probe,20260505_230820,,,,,,,,,,,,,,,236,200,leak,true,4.373,611,
probe,20260505_230820,,,,,,,,,,,,,,,236,200,leak,true,4.368,612,
probe,20260505_230820,,,,,,,,,,,,,,,236,200,leak,true,4.373,613,
probe,20260505_230820,,,,,,,,,,,,,,,236,200,leak,true,4.37,614,
probe,20260505_230820,,,,,,,,,,,,,,,462,200,leak,true,2.56,615,
probe,20260505_230820,,,,,,,,,,,,,,,462,200,safe,false,1.98,616,
probe,20260505_230820,,,,,,,,,,,,,,,462,200,leak,true,4.376,617,
probe,20260505_230820,,,,,,,,,,,,,,,462,200,leak,true,4.423,618,
probe,20260505_230820,,,,,,,,,,,,,,,462,200,leak,true,4.383,619,
probe,20260505_230820,,,,,,,,,,,,,,,462,200,leak,true,2.57,620,
probe,20260505_230820,,,,,,,,,,,,,,,462,200,leak,true,2.557,621,
probe,20260505_230820,,,,,,,,,,,,,,,462,200,leak,true,4.364,622,
probe,20260505_230820,,,,,,,,,,,,,,,462,200,leak,true,4.39,623,
probe,20260505_230820,,,,,,,,,,,,,,,462,200,leak,true,4.374,624,
probe,20260505_230820,,,,,,,,,,,,,,,0,200,leak,true,4.407,625,
probe,20260505_230820,,,,,,,,,,,,,,,0,200,leak,true,4.392,626,
probe,20260505_230820,,,,,,,,,,,,,,,0,403,blocked,false,0.47,627,
probe,20260505_230820,,,,,,,,,,,,,,,0,403,blocked,false,0.464,628,
probe,20260505_230820,,,,,,,,,,,,,,,0,403,blocked,false,0.46,629,
probe,20260505_230820,,,,,,,,,,,,,,,0,403,blocked,false,0.459,630,
probe,20260505_230820,,,,,,,,,,,,,,,0,403,blocked,false,0.453,631,
probe,20260505_230820,,,,,,,,,,,,,,,0,403,blocked,false,0.46,632,
probe,20260505_230820,,,,,,,,,,,,,,,0,403,blocked,false,0.471,633,
probe,20260505_230820,,,,,,,,,,,,,,,0,403,blocked,false,0.507,634,
probe,20260505_230820,,,,,,,,,,,,,,,50,200,leak,true,4.415,635,
probe,20260505_230820,,,,,,,,,,,,,,,50,200,leak,true,2.677,636,
probe,20260505_230820,,,,,,,,,,,,,,,50,200,leak,true,4.357,637,
probe,20260505_230820,,,,,,,,,,,,,,,50,200,leak,true,4.329,638,
probe,20260505_230820,,,,,,,,,,,,,,,50,200,leak,true,4.313,639,
probe,20260505_230820,,,,,,,,,,,,,,,50,200,leak,true,4.336,640,
probe,20260505_230820,,,,,,,,,,,,,,,50,200,leak,true,4.34,641,
probe,20260505_230820,,,,,,,,,,,,,,,50,200,leak,true,2.53,642,
probe,20260505_230820,,,,,,,,,,,,,,,50,200,leak,true,2.602,643,
probe,20260505_230820,,,,,,,,,,,,,,,50,200,leak,true,2.656,644,
probe,20260505_230820,,,,,,,,,,,,,,,100,200,leak,true,2.542,645,
probe,20260505_230820,,,,,,,,,,,,,,,100,200,leak,true,2.526,646,
probe,20260505_230820,,,,,,,,,,,,,,,100,200,leak,true,4.313,647,
probe,20260505_230820,,,,,,,,,,,,,,,100,200,leak,true,2.533,648,
probe,20260505_230820,,,,,,,,,,,,,,,100,200,leak,true,4.292,649,
probe,20260505_230820,,,,,,,,,,,,,,,100,200,leak,true,4.302,650,
probe,20260505_230820,,,,,,,,,,,,,,,100,200,leak,true,4.311,651,
probe,20260505_230820,,,,,,,,,,,,,,,100,200,leak,true,4.294,652,
probe,20260505_230820,,,,,,,,,,,,,,,100,200,leak,true,4.309,653,
probe,20260505_230820,,,,,,,,,,,,,,,100,200,leak,true,2.525,654,
probe,20260505_230820,,,,,,,,,,,,,,,200,200,leak,true,2.495,655,
probe,20260505_230820,,,,,,,,,,,,,,,200,200,leak,true,4.327,656,
probe,20260505_230820,,,,,,,,,,,,,,,200,200,leak,true,4.287,657,
probe,20260505_230820,,,,,,,,,,,,,,,200,200,leak,true,2.623,658,
probe,20260505_230820,,,,,,,,,,,,,,,200,200,leak,true,4.3,659,
probe,20260505_230820,,,,,,,,,,,,,,,200,200,leak,true,4.287,660,
probe,20260505_230820,,,,,,,,,,,,,,,200,200,leak,true,4.294,661,
probe,20260505_230820,,,,,,,,,,,,,,,200,200,leak,true,2.475,662,
probe,20260505_230820,,,,,,,,,,,,,,,200,200,leak,true,4.281,663,
probe,20260505_230820,,,,,,,,,,,,,,,200,200,leak,true,4.255,664,
probe,20260505_230820,,,,,,,,,,,,,,,500,200,safe,false,1.821,665,
probe,20260505_230820,,,,,,,,,,,,,,,500,200,safe,false,1.814,666,
probe,20260505_230820,,,,,,,,,,,,,,,500,200,safe,false,1.98,667,
probe,20260505_230820,,,,,,,,,,,,,,,500,200,safe,false,1.965,668,
probe,20260505_230820,,,,,,,,,,,,,,,500,200,safe,false,1.812,669,
probe,20260505_230820,,,,,,,,,,,,,,,500,200,safe,false,3.06,670,
probe,20260505_230820,,,,,,,,,,,,,,,500,200,safe,false,1.824,671,
probe,20260505_230820,,,,,,,,,,,,,,,500,200,safe,false,3.057,672,
probe,20260505_230820,,,,,,,,,,,,,,,500,200,safe,false,1.924,673,
probe,20260505_230820,,,,,,,,,,,,,,,500,200,safe,false,3.076,674,
probe,20260505_230820,,,,,,,,,,,,,,,1000,200,safe,false,1.947,675,
probe,20260505_230820,,,,,,,,,,,,,,,1000,200,safe,false,1.943,676,
probe,20260505_230820,,,,,,,,,,,,,,,1000,200,safe,false,1.9,677,
probe,20260505_230820,,,,,,,,,,,,,,,1000,200,safe,false,1.983,678,
probe,20260505_230820,,,,,,,,,,,,,,,1000,200,safe,false,1.82,679,
probe,20260505_230820,,,,,,,,,,,,,,,1000,200,safe,false,1.808,680,
probe,20260505_230820,,,,,,,,,,,,,,,1000,200,safe,false,1.977,681,
probe,20260505_230820,,,,,,,,,,,,,,,1000,200,safe,false,3.064,682,
probe,20260505_230820,,,,,,,,,,,,,,,1000,200,safe,false,1.96,683,
probe,20260505_230820,,,,,,,,,,,,,,,1000,200,safe,false,1.97,684,
probe,20260505_230820,,,,,,,,,,,,,,,2000,200,safe,false,2.43,685,
probe,20260505_230820,,,,,,,,,,,,,,,2000,200,safe,false,2.423,686,
probe,20260505_230820,,,,,,,,,,,,,,,2000,200,safe,false,2.445,687,
probe,20260505_230820,,,,,,,,,,,,,,,2000,200,safe,false,2.429,688,
probe,20260505_230820,,,,,,,,,,,,,,,2000,200,safe,false,2.44,689,
probe,20260505_230820,,,,,,,,,,,,,,,2000,200,safe,false,2.441,690,
probe,20260505_230820,,,,,,,,,,,,,,,2000,200,safe,false,2.432,691,
probe,20260505_230820,,,,,,,,,,,,,,,2000,200,safe,false,2.43,692,
probe,20260505_230820,,,,,,,,,,,,,,,2000,200,safe,false,3.07,693,
probe,20260505_230820,,,,,,,,,,,,,,,2000,200,safe,false,3.051,694,
probe,20260505_230820,,,,,,,,,,,,,,,4000,200,safe,false,4.438,695,
probe,20260505_230820,,,,,,,,,,,,,,,4000,200,safe,false,4.452,696,
probe,20260505_230820,,,,,,,,,,,,,,,4000,200,safe,false,4.428,697,
probe,20260505_230820,,,,,,,,,,,,,,,4000,200,safe,false,4.428,698,
probe,20260505_230820,,,,,,,,,,,,,,,4000,200,safe,false,4.432,699,
probe,20260505_230820,,,,,,,,,,,,,,,4000,200,safe,false,4.438,700,
probe,20260505_230820,,,,,,,,,,,,,,,4000,200,safe,false,4.447,701,
probe,20260505_230820,,,,,,,,,,,,,,,4000,200,safe,false,4.422,702,
probe,20260505_230820,,,,,,,,,,,,,,,4000,200,safe,false,4.432,703,
probe,20260505_230820,,,,,,,,,,,,,,,4000,200,safe,false,4.425,704,
