record_type,run_id,started_utc,finished_utc,lo_edge_ms,hi_edge_ms,window_ms,no_seed,n_probes,pace_s,repeat,gap_db_write,gap_sse_handshake,gap_llm_round0,gap_mcp_read_document,gap_total_toctou_gap,delay_ms,http_code,outcome,leaked,duration_s,doc_id,error
summary,20260414_201720,2026-04-14T20:17:20.234779+00:00,2026-04-14T20:23:18.978698+00:00,12,996,984,false,37,5,3,10-51,8-19,787-2054,5-9,838-2100,,,,,,,
probe,20260414_201720,,,,,,,,,,,,,,,10,403,blocked,false,0.586,491,
probe,20260414_201720,,,,,,,,,,,,,,,25,200,leak,true,4.462,492,
probe,20260414_201720,,,,,,,,,,,,,,,0,403,blocked,false,0.434,493,
probe,20260414_201720,,,,,,,,,,,,,,,12,200,leak,true,5.045,494,
probe,20260414_201720,,,,,,,,,,,,,,,6,403,blocked,false,0.445,495,
probe,20260414_201720,,,,,,,,,,,,,,,50,200,leak,true,5.314,496,
probe,20260414_201720,,,,,,,,,,,,,,,100,200,leak,true,5.047,497,
probe,20260414_201720,,,,,,,,,,,,,,,200,200,leak,true,4.447,498,
probe,20260414_201720,,,,,,,,,,,,,,,400,200,leak,true,3.938,499,
probe,20260414_201720,,,,,,,,,,,,,,,800,200,leak,true,5.986,500,
probe,20260414_201720,,,,,,,,,,,,,,,1600,200,safe,false,4.159,501,
probe,20260414_201720,,,,,,,,,,,,,,,812,200,leak,true,4.595,502,
probe,20260414_201720,,,,,,,,,,,,,,,1206,200,safe,false,4.618,503,
probe,20260414_201720,,,,,,,,,,,,,,,1009,200,safe,false,3.44,504,
probe,20260414_201720,,,,,,,,,,,,,,,910,200,leak,true,5.069,505,
probe,20260414_201720,,,,,,,,,,,,,,,959,200,leak,true,4.403,506,
probe,20260414_201720,,,,,,,,,,,,,,,984,200,leak,true,4.087,507,
probe,20260414_201720,,,,,,,,,,,,,,,996,200,leak,true,4.468,508,
probe,20260414_201720,,,,,,,,,,,,,,,1002,200,safe,false,4.246,509,
probe,20260414_201720,,,,,,,,,,,,,,,0,403,blocked,false,0.424,510,
probe,20260414_201720,,,,,,,,,,,,,,,0,403,blocked,false,0.547,511,
probe,20260414_201720,,,,,,,,,,,,,,,0,403,blocked,false,0.454,512,
probe,20260414_201720,,,,,,,,,,,,,,,12,403,blocked,false,0.525,513,
probe,20260414_201720,,,,,,,,,,,,,,,12,200,leak,true,4.274,514,
probe,20260414_201720,,,,,,,,,,,,,,,12,200,leak,true,4.478,515,
probe,20260414_201720,,,,,,,,,,,,,,,18,200,leak,true,4.216,516,
probe,20260414_201720,,,,,,,,,,,,,,,18,200,leak,true,4.714,517,
probe,20260414_201720,,,,,,,,,,,,,,,18,200,leak,true,4.328,518,
probe,20260414_201720,,,,,,,,,,,,,,,25,200,leak,true,5.062,519,
probe,20260414_201720,,,,,,,,,,,,,,,25,200,leak,true,4.106,520,
probe,20260414_201720,,,,,,,,,,,,,,,25,200,leak,true,5.048,521,
probe,20260414_201720,,,,,,,,,,,,,,,510,200,leak,true,4.256,522,
probe,20260414_201720,,,,,,,,,,,,,,,510,200,leak,true,4.47,523,
probe,20260414_201720,,,,,,,,,,,,,,,510,200,leak,true,5.192,524,
probe,20260414_201720,,,,,,,,,,,,,,,996,200,safe,false,3.778,525,
probe,20260414_201720,,,,,,,,,,,,,,,996,200,leak,true,4.481,526,
probe,20260414_201720,,,,,,,,,,,,,,,996,200,leak,true,4.623,527,
