record_type,run_id,started_utc,finished_utc,lo_edge_ms,hi_edge_ms,window_ms,no_seed,n_probes,pace_s,repeat,gap_db_write,gap_sse_handshake,gap_llm_round0,gap_mcp_read_document,gap_total_toctou_gap,delay_ms,http_code,outcome,leaked,duration_s,doc_id,error
summary,20260414_195819,2026-04-14T19:58:19.594593+00:00,2026-04-14T20:03:29.714738+00:00,18,502,484,false,35,5,3,9-16,9-19,415-434,5-7,465-492,,,,,,,
probe,20260414_195819,,,,,,,,,,,,,,,10,403,blocked,false,0.575,428,
probe,20260414_195819,,,,,,,,,,,,,,,25,200,leak,true,4.325,429,
probe,20260414_195819,,,,,,,,,,,,,,,0,403,blocked,false,0.456,430,
probe,20260414_195819,,,,,,,,,,,,,,,12,403,blocked,false,0.467,431,
probe,20260414_195819,,,,,,,,,,,,,,,18,200,leak,true,4.325,432,
probe,20260414_195819,,,,,,,,,,,,,,,50,200,leak,true,2.566,433,
probe,20260414_195819,,,,,,,,,,,,,,,100,200,leak,true,4.295,434,
probe,20260414_195819,,,,,,,,,,,,,,,200,200,leak,true,4.297,435,
probe,20260414_195819,,,,,,,,,,,,,,,400,200,leak,true,4.293,436,
probe,20260414_195819,,,,,,,,,,,,,,,800,200,safe,false,3.097,437,
probe,20260414_195819,,,,,,,,,,,,,,,412,200,leak,true,4.351,438,
probe,20260414_195819,,,,,,,,,,,,,,,606,200,safe,false,1.835,439,
probe,20260414_195819,,,,,,,,,,,,,,,509,200,safe,false,1.965,440,
probe,20260414_195819,,,,,,,,,,,,,,,460,200,leak,true,2.509,441,
probe,20260414_195819,,,,,,,,,,,,,,,484,200,leak,true,2.56,442,
probe,20260414_195819,,,,,,,,,,,,,,,496,200,leak,true,4.454,443,
probe,20260414_195819,,,,,,,,,,,,,,,502,200,leak,true,4.461,444,
probe,20260414_195819,,,,,,,,,,,,,,,0,200,leak,true,4.456,445,
probe,20260414_195819,,,,,,,,,,,,,,,0,403,blocked,false,0.465,446,
probe,20260414_195819,,,,,,,,,,,,,,,0,403,blocked,false,0.442,447,
probe,20260414_195819,,,,,,,,,,,,,,,18,200,leak,true,4.341,448,
probe,20260414_195819,,,,,,,,,,,,,,,18,200,leak,true,4.324,449,
probe,20260414_195819,,,,,,,,,,,,,,,18,200,leak,true,2.553,450,
probe,20260414_195819,,,,,,,,,,,,,,,21,403,blocked,false,0.463,451,
probe,20260414_195819,,,,,,,,,,,,,,,21,200,leak,true,4.408,452,
probe,20260414_195819,,,,,,,,,,,,,,,21,200,leak,true,2.564,453,
probe,20260414_195819,,,,,,,,,,,,,,,25,200,leak,true,4.384,454,
probe,20260414_195819,,,,,,,,,,,,,,,25,200,leak,true,2.531,455,
probe,20260414_195819,,,,,,,,,,,,,,,25,200,leak,true,4.394,456,
probe,20260414_195819,,,,,,,,,,,,,,,263,200,leak,true,2.586,457,
probe,20260414_195819,,,,,,,,,,,,,,,263,200,leak,true,4.331,458,
probe,20260414_195819,,,,,,,,,,,,,,,263,200,leak,true,4.317,459,
probe,20260414_195819,,,,,,,,,,,,,,,502,200,safe,false,1.632,460,
probe,20260414_195819,,,,,,,,,,,,,,,502,200,safe,false,1.839,461,
probe,20260414_195819,,,,,,,,,,,,,,,502,200,safe,false,1.843,462,
