attacker_delay,outcome,attacker_start_time,Document_lookup_start,Document_lookup_end,Blob_fetch_start,Blob_fetch_end,Initial_sec_validation_start,Initial_sec_validation_end,Document_marked_safe_start,Document_marked_safe_end,Dispatch_to_agent_start,Dispatch_to_agent_end,Agent_retrieves_document_state_start,Agent_retrieves_document_state_end,Agent_retrieves_document_start,Agent_retrieves_document_end,attacker_modify_time,attacker_modify_done,blob_read_time
1,leak,01:07:56.525884,01:07:56.525884,01:07:56.526280,01:07:56.526280,01:07:56.527842,01:07:56.527842,01:07:56.530340,01:07:56.530340,01:07:56.539806,01:07:56.539827,01:07:56.551253,01:07:56.551253,01:07:56.557313,01:07:56.999581,01:07:57.005664,01:07:56.527351,01:07:56.527467,01:07:56.527029
1,leak,01:08:01.237804,01:08:01.237804,01:08:01.238199,01:08:01.238199,01:08:01.239729,01:08:01.239729,01:08:01.241308,01:08:01.241308,01:08:01.250678,01:08:01.250701,01:08:01.265610,01:08:01.265610,01:08:01.271376,01:08:01.701251,01:08:01.706617,01:08:01.239175,01:08:01.239280,01:08:01.238891
1,leak,01:08:05.880091,01:08:05.880091,01:08:05.880584,01:08:05.880584,01:08:05.882263,01:08:05.882263,01:08:05.883802,01:08:05.883802,01:08:05.895444,01:08:05.895467,01:08:05.907963,01:08:05.907963,01:08:05.913535,01:08:06.343020,01:08:06.351051,01:08:05.881830,01:08:05.881958,01:08:05.881413
1,blocked,01:08:10.589760,01:08:10.589760,01:08:10.590391,01:08:10.590391,01:08:10.592124,01:08:10.592124,01:08:10.593633,01:08:10.593633,,,,,,,,01:08:10.591160,01:08:10.591277,01:08:10.591579
1,leak,01:08:11.064710,01:08:11.064710,01:08:11.065082,01:08:11.065082,01:08:11.066473,01:08:11.066473,01:08:11.067961,01:08:11.067961,01:08:11.077297,01:08:11.077317,01:08:11.089256,01:08:11.089256,01:08:11.095066,01:08:11.534349,01:08:11.539934,01:08:11.066305,01:08:11.066469,01:08:11.065867
1,leak,01:08:15.700172,01:08:15.700172,01:08:15.700577,01:08:15.700577,01:08:15.702096,01:08:15.702096,01:08:15.703705,01:08:15.703705,01:08:15.713033,01:08:15.713055,01:08:15.725158,01:08:15.725158,01:08:15.731042,01:08:16.170968,01:08:16.177305,01:08:15.701610,01:08:15.701691,01:08:15.701307
1,leak,01:08:20.409670,01:08:20.409670,01:08:20.410317,01:08:20.410317,01:08:20.412059,01:08:20.412059,01:08:20.414256,01:08:20.414256,01:08:20.423773,01:08:20.423799,01:08:20.442245,01:08:20.442245,01:08:20.451044,01:08:20.880952,01:08:20.886646,01:08:20.411259,01:08:20.411347,01:08:20.411082
1,leak,01:08:25.060743,01:08:25.060743,01:08:25.061212,01:08:25.061212,01:08:25.062850,01:08:25.062850,01:08:25.064320,01:08:25.064320,01:08:25.073940,01:08:25.073967,01:08:25.086646,01:08:25.086646,01:08:25.092878,01:08:25.522103,01:08:25.528761,01:08:25.062303,01:08:25.062387,01:08:25.062033
1,leak,01:08:29.735872,01:08:29.735872,01:08:29.736298,01:08:29.736298,01:08:29.737500,01:08:29.737500,01:08:29.739020,01:08:29.739020,01:08:29.748749,01:08:29.748773,01:08:29.777174,01:08:29.777174,01:08:29.784388,01:08:30.229122,01:08:30.235332,01:08:29.737242,01:08:29.737325,01:08:29.736952
1,safe,01:08:32.776551,01:08:32.776551,01:08:32.776990,01:08:32.776990,01:08:32.778342,01:08:32.778342,01:08:32.779674,01:08:32.779674,01:08:32.789289,01:08:32.789308,01:08:32.802747,01:08:32.802747,01:08:32.808565,01:08:33.246257,01:08:33.251678,01:08:32.778085,01:08:32.778185,01:08:32.777740
