attacker_delay,outcome,attacker_start_time,Document_lookup_start,Document_lookup_end,Blob_fetch_start,Blob_fetch_end,Initial_sec_validation_start,Initial_sec_validation_end,Document_marked_safe_start,Document_marked_safe_end,Dispatch_to_agent_start,Dispatch_to_agent_end,LLM_inference_start,LLM_inference_end,Agent_retrieves_document_state_start,Agent_retrieves_document_state_end,Agent_retrieves_document_start,Agent_retrieves_document_end,attacker_modify_time,attacker_modify_done,blob_read_time
1,leak,14:15:51.468831,14:15:51.468831,14:15:51.469245,14:15:51.469245,14:15:51.470366,14:15:51.470366,14:15:51.472616,14:15:51.472616,14:15:51.482790,14:15:51.482811,14:15:51.495953,14:15:51.505068,14:15:51.951367,14:15:51.495968,14:15:51.501969,14:15:51.957734,14:15:51.963844,14:15:51.470435,14:15:51.470532,14:15:51.469875
1,leak,14:15:56.280537,14:15:56.280537,14:15:56.280953,14:15:56.280953,14:15:56.282146,14:15:56.282146,14:15:56.283637,14:15:56.283637,14:15:56.293110,14:15:56.293129,14:15:56.305526,14:15:56.313971,14:15:56.760071,14:15:56.305539,14:15:56.310960,14:15:56.766411,14:15:56.771945,14:15:56.281908,14:15:56.281993,14:15:56.281602
1,safe,14:15:59.369332,14:15:59.369332,14:15:59.369676,14:15:59.369676,14:15:59.371017,14:15:59.371017,14:15:59.372450,14:15:59.372450,14:15:59.381612,14:15:59.381635,14:15:59.399053,14:15:59.407624,14:15:59.852132,14:15:59.399068,14:15:59.404652,14:15:59.858152,14:15:59.863763,14:15:59.370941,14:15:59.371021,14:15:59.370390
1,safe,14:16:04.566828,14:16:04.566828,14:16:04.567238,14:16:04.567238,14:16:04.568664,14:16:04.568664,14:16:04.570834,14:16:04.570834,14:16:04.579969,14:16:04.579992,14:16:04.591054,14:16:04.599941,14:16:05.047312,14:16:04.591065,14:16:04.596964,14:16:05.053130,14:16:05.058837,14:16:04.589542,14:16:04.589645,14:16:04.567985
1,leak,14:16:09.812105,14:16:09.812105,14:16:09.812547,14:16:09.812547,14:16:09.813888,14:16:09.813888,14:16:09.816115,14:16:09.816115,14:16:09.825509,14:16:09.825526,14:16:09.835811,14:16:09.844038,14:16:10.284274,14:16:09.835821,14:16:09.841172,14:16:10.290270,14:16:10.296269,14:16:09.827681,14:16:09.827781,14:16:09.813238
1,leak,14:16:14.639041,14:16:14.639041,14:16:14.639443,14:16:14.639443,14:16:14.640599,14:16:14.640599,14:16:14.642020,14:16:14.642020,14:16:14.652379,14:16:14.652398,14:16:14.663449,14:16:14.671870,14:16:15.121501,14:16:14.663459,14:16:14.668876,14:16:15.127546,14:16:15.133989,14:16:14.640387,14:16:14.640476,14:16:14.640070
1,leak,14:16:19.381809,14:16:19.381809,14:16:19.382223,14:16:19.382223,14:16:19.383402,14:16:19.383402,14:16:19.384882,14:16:19.384882,14:16:19.394163,14:16:19.394184,14:16:19.405342,14:16:19.413581,14:16:19.858194,14:16:19.405352,14:16:19.410562,14:16:19.864048,14:16:19.870065,14:16:19.383107,14:16:19.383182,14:16:19.382842
1,safe,14:16:22.699978,14:16:22.699978,14:16:22.700370,14:16:22.700370,14:16:22.701542,14:16:22.701542,14:16:22.702907,14:16:22.702907,14:16:22.712114,14:16:22.712135,14:16:22.726157,14:16:22.734800,14:16:23.174961,14:16:22.726170,14:16:22.731736,14:16:23.181009,14:16:23.186814,14:16:22.701241,14:16:22.701314,14:16:22.701012
1,safe,14:16:27.949079,14:16:27.949079,14:16:27.949430,14:16:27.949430,14:16:27.950677,14:16:27.950677,14:16:27.953000,14:16:27.953000,14:16:27.962761,14:16:27.962789,14:16:27.977164,14:16:27.986200,14:16:28.427593,14:16:27.977177,14:16:27.983132,14:16:28.433500,14:16:28.439039,14:16:27.950915,14:16:27.951026,14:16:27.950125
1,leak,14:16:33.177198,14:16:33.177198,14:16:33.177612,14:16:33.177612,14:16:33.178984,14:16:33.178984,14:16:33.181297,14:16:33.181297,14:16:33.190668,14:16:33.190691,14:16:33.202390,14:16:33.210792,14:16:33.657593,14:16:33.202400,14:16:33.207978,14:16:33.663770,14:16:33.668951,14:16:33.198217,14:16:33.198316,14:16:33.178250
2,leak,14:16:36.925854,14:16:36.925854,14:16:36.926255,14:16:36.926255,14:16:36.927403,14:16:36.927403,14:16:36.929046,14:16:36.929046,14:16:36.938492,14:16:36.938556,14:16:36.952559,14:16:36.960961,14:16:37.399557,14:16:36.952572,14:16:36.957976,14:16:37.405489,14:16:37.411244,14:16:36.928259,14:16:36.928344,14:16:36.926890
2,leak,14:16:40.209341,14:16:40.209341,14:16:40.209748,14:16:40.209748,14:16:40.211074,14:16:40.211074,14:16:40.212736,14:16:40.212736,14:16:40.222218,14:16:40.222249,14:16:40.236867,14:16:40.246054,14:16:40.687860,14:16:40.236880,14:16:40.242789,14:16:40.693947,14:16:40.699403,14:16:40.212147,14:16:40.212270,14:16:40.210433
2,safe,14:16:43.925693,14:16:43.925693,14:16:43.926066,14:16:43.926066,14:16:43.927274,14:16:43.927274,14:16:43.929154,14:16:43.929154,14:16:43.938600,14:16:43.938624,14:16:43.952789,14:16:43.961573,14:16:44.403614,14:16:43.952801,14:16:43.958232,14:16:44.409648,14:16:44.415180,14:16:43.928008,14:16:43.928098,14:16:43.926739
2,leak,14:16:49.092896,14:16:49.092896,14:16:49.093291,14:16:49.093291,14:16:49.094618,14:16:49.094618,14:16:49.096885,14:16:49.096885,14:16:49.106022,14:16:49.106044,14:16:49.117332,14:16:49.125828,14:16:49.566663,14:16:49.117342,14:16:49.122815,14:16:49.572675,14:16:49.578150,14:16:49.095810,14:16:49.095999,14:16:49.093909
2,leak,14:16:53.914572,14:16:53.914572,14:16:53.914955,14:16:53.914955,14:16:53.916043,14:16:53.916043,14:16:53.917407,14:16:53.917407,14:16:53.926627,14:16:53.926649,14:16:53.944735,14:16:53.953268,14:16:54.400400,14:16:53.944746,14:16:53.950376,14:16:54.406263,14:16:54.411429,14:16:53.917023,14:16:53.917109,14:16:53.915564
2,safe,14:16:57.224879,14:16:57.224879,14:16:57.225227,14:16:57.225227,14:16:57.226322,14:16:57.226322,14:16:57.227804,14:16:57.227804,14:16:57.237628,14:16:57.237645,14:16:57.250902,14:16:57.259302,14:16:57.698285,14:16:57.250915,14:16:57.256348,14:16:57.704421,14:16:57.709776,14:16:57.227464,14:16:57.227549,14:16:57.225832
2,safe,14:17:02.330845,14:17:02.330845,14:17:02.331218,14:17:02.331218,14:17:02.332878,14:17:02.332878,14:17:02.335582,14:17:02.335582,14:17:02.346220,14:17:02.346258,14:17:02.361362,14:17:02.371673,14:17:02.833658,14:17:02.361380,14:17:02.368293,14:17:02.839917,14:17:02.845584,14:17:02.333961,14:17:02.334094,14:17:02.332023
2,safe,14:17:07.465772,14:17:07.465772,14:17:07.466212,14:17:07.466212,14:17:07.467440,14:17:07.467440,14:17:07.469638,14:17:07.469638,14:17:07.536010,14:17:07.536043,14:17:07.547733,14:17:07.555977,14:17:08.000586,14:17:07.547744,14:17:07.553081,14:17:08.006616,14:17:08.012338,14:17:07.480149,14:17:07.480248,14:17:07.466905
2,leak,14:17:12.995470,14:17:12.995470,14:17:12.995825,14:17:12.995825,14:17:12.997161,14:17:12.997161,14:17:12.999442,14:17:12.999442,14:17:13.072565,14:17:13.072604,14:17:13.084252,14:17:13.093065,14:17:13.544919,14:17:13.084262,14:17:13.090064,14:17:13.551307,14:17:13.557505,14:17:13.019386,14:17:13.019511,14:17:12.996583
2,leak,14:17:17.920326,14:17:17.920326,14:17:17.920905,14:17:17.920905,14:17:17.922306,14:17:17.922306,14:17:17.923725,14:17:17.923725,14:17:17.971451,14:17:17.971478,14:17:17.983092,14:17:17.991584,14:17:18.435460,14:17:17.983102,14:17:17.988498,14:17:18.441754,14:17:18.447280,14:17:17.922709,14:17:17.922842,14:17:17.921611
3,leak,14:17:21.231569,14:17:21.231569,14:17:21.232014,14:17:21.232014,14:17:21.233196,14:17:21.233196,14:17:21.234675,14:17:21.234675,14:17:21.276100,14:17:21.276147,14:17:21.290868,14:17:21.300683,14:17:21.745890,14:17:21.290883,14:17:21.297316,14:17:21.751839,14:17:21.757431,14:17:21.235077,14:17:21.235164,14:17:21.232694
