attacker_delay,outcome,attacker_start_time,Document_lookup_start,Document_lookup_end,Blob_fetch_start,Blob_fetch_end,Initial_sec_validation_start,Initial_sec_validation_end,Document_marked_safe_start,Document_marked_safe_end,Dispatch_to_agent_start,Dispatch_to_agent_end,LLM_inference_start,LLM_inference_end,Agent_retrieves_document_state_start,Agent_retrieves_document_state_end,Agent_retrieves_document_start,Agent_retrieves_document_end,attacker_modify_time,attacker_modify_done,blob_read_time
1,blocked,15:21:22.214956,15:21:22.214956,15:21:22.215886,15:21:22.215886,15:21:22.217114,15:21:22.217114,15:21:22.222929,15:21:22.222929,,,,,,,,,,15:21:22.215980,15:21:22.216138,15:21:22.216542
1,leak,15:21:22.717139,15:21:22.717139,15:21:22.717679,15:21:22.717679,15:21:22.718960,15:21:22.718960,15:21:22.720562,15:21:22.720562,15:21:22.730558,15:21:22.730577,15:21:23.152445,15:21:23.164684,15:21:32.179480,15:21:32.179538,15:21:32.186817,15:21:32.186845,15:21:32.194975,15:21:22.718648,15:21:22.718732,15:21:22.718359
1,leak,15:21:36.572744,15:21:36.572744,15:21:36.573127,15:21:36.573127,15:21:36.574302,15:21:36.574302,15:21:36.576893,15:21:36.576893,15:21:36.586064,15:21:36.586087,15:21:36.598093,15:21:36.606571,15:21:37.002293,15:21:37.002322,15:21:37.009052,15:21:37.009073,15:21:37.015030,15:21:36.595956,15:21:36.596077,15:21:36.573730
1,leak,15:21:41.221581,15:21:41.221581,15:21:41.221960,15:21:41.221960,15:21:41.223059,15:21:41.223059,15:21:41.224677,15:21:41.224677,15:21:41.234366,15:21:41.234387,15:21:41.245754,15:21:41.253860,15:21:41.649499,15:21:41.649533,15:21:41.655366,15:21:41.655389,15:21:41.660396,15:21:41.223035,15:21:41.223199,15:21:41.222562
1,leak,15:21:45.666185,15:21:45.666185,15:21:45.666489,15:21:45.666489,15:21:45.667498,15:21:45.667498,15:21:45.668873,15:21:45.668873,15:21:45.678666,15:21:45.678683,15:21:45.690582,15:21:45.699275,15:21:46.095059,15:21:46.095093,15:21:46.100634,15:21:46.100659,15:21:46.106364,15:21:45.667855,15:21:45.667948,15:21:45.667041
1,leak,15:21:50.237443,15:21:50.237443,15:21:50.237834,15:21:50.237834,15:21:50.239083,15:21:50.239083,15:21:50.241331,15:21:50.241331,15:21:50.252373,15:21:50.252421,15:21:50.264324,15:21:50.272946,15:21:50.667892,15:21:50.667922,15:21:50.673696,15:21:50.673721,15:21:50.679570,15:21:50.239154,15:21:50.239234,15:21:50.238389
1,leak,15:21:53.927173,15:21:53.927173,15:21:53.927614,15:21:53.927614,15:21:53.928850,15:21:53.928850,15:21:53.930241,15:21:53.930241,15:21:53.940167,15:21:53.940195,15:21:53.953986,15:21:53.962705,15:21:54.355352,15:21:54.355385,15:21:54.361216,15:21:54.361236,15:21:54.366350,15:21:53.928589,15:21:53.928673,15:21:53.928319
1,leak,15:21:58.432145,15:21:58.432145,15:21:58.432587,15:21:58.432587,15:21:58.433843,15:21:58.433843,15:21:58.435335,15:21:58.435335,15:21:58.444516,15:21:58.444536,15:21:58.456233,15:21:58.464474,15:21:58.859715,15:21:58.859748,15:21:58.865515,15:21:58.865536,15:21:58.872082,15:21:58.433814,15:21:58.433952,15:21:58.433268
1,leak,15:22:03.068885,15:22:03.068885,15:22:03.069216,15:22:03.069216,15:22:03.070602,15:22:03.070602,15:22:03.071946,15:22:03.071946,15:22:03.081262,15:22:03.081286,15:22:03.092807,15:22:03.101567,15:22:03.495281,15:22:03.495313,15:22:03.501304,15:22:03.501331,15:22:03.506978,15:22:03.070181,15:22:03.070259,15:22:03.069789
1,leak,15:22:07.636025,15:22:07.636025,15:22:07.636410,15:22:07.636410,15:22:07.637814,15:22:07.637814,15:22:07.639284,15:22:07.639284,15:22:07.649285,15:22:07.649304,15:22:07.663815,15:22:07.672345,15:22:08.085051,15:22:08.085101,15:22:08.094461,15:22:08.094489,15:22:08.104316,15:22:07.637354,15:22:07.637444,15:22:07.637069
2,leak,15:22:12.309847,15:22:12.309847,15:22:12.310187,15:22:12.310187,15:22:12.311245,15:22:12.311245,15:22:12.312699,15:22:12.312699,15:22:12.321906,15:22:12.321935,15:22:12.338993,15:22:12.347868,15:22:12.756317,15:22:12.756348,15:22:12.762272,15:22:12.762297,15:22:12.767484,15:22:12.312302,15:22:12.312419,15:22:12.310771
2,leak,15:22:15.977612,15:22:15.977612,15:22:15.977955,15:22:15.977955,15:22:15.979027,15:22:15.979027,15:22:15.980791,15:22:15.980791,15:22:15.990219,15:22:15.990240,15:22:16.044698,15:22:16.053547,15:22:16.459076,15:22:16.459106,15:22:16.464900,15:22:16.464924,15:22:16.470417,15:22:15.979722,15:22:15.979799,15:22:15.978531
2,leak,15:22:20.599419,15:22:20.599419,15:22:20.599951,15:22:20.599951,15:22:20.601131,15:22:20.601131,15:22:20.602412,15:22:20.602412,15:22:20.611734,15:22:20.611756,15:22:20.623244,15:22:20.631328,15:22:21.040886,15:22:21.040915,15:22:21.046505,15:22:21.046524,15:22:21.052029,15:22:20.601973,15:22:20.602054,15:22:20.600597
