attacker_delay,outcome,attacker_start_time,Document_lookup_start,Document_lookup_end,Blob_fetch_start,Blob_fetch_end,Initial_sec_validation_start,Initial_sec_validation_end,Document_marked_safe_start,Document_marked_safe_end,Dispatch_to_agent_start,Dispatch_to_agent_end,Agent_retrieves_document_state_start,Agent_retrieves_document_state_end,Agent_retrieves_document_start,Agent_retrieves_document_end,attacker_modify_time,attacker_modify_done,blob_read_time
1,blocked,00:59:26.055954,00:59:26.055954,00:59:26.057325,00:59:26.057325,00:59:26.058804,00:59:26.058804,00:59:26.066912,00:59:26.066912,,,,,,,,00:59:26.057024,00:59:26.057180,00:59:26.058198
1,rejected,00:59:26.570601,00:59:26.570601,00:59:26.571021,00:59:26.571021,00:59:26.572596,00:59:26.572596,00:59:26.574542,00:59:26.574542,00:59:26.585726,00:59:26.585761,00:59:27.367281,00:59:27.367281,00:59:27.377632,00:59:27.383827,00:59:27.389974,00:59:26.572327,00:59:26.572438,00:59:26.571957
1,rejected,00:59:27.844466,00:59:27.844466,00:59:27.844890,00:59:27.844890,00:59:27.846251,00:59:27.846251,00:59:27.848123,00:59:27.848123,00:59:27.858828,00:59:27.858851,00:59:27.872317,00:59:27.872317,00:59:27.877941,00:59:27.883759,00:59:27.889645,00:59:27.845905,00:59:27.845989,00:59:27.845605
1,blocked,00:59:28.340968,00:59:28.340968,00:59:28.341539,00:59:28.341539,00:59:28.343208,00:59:28.343208,00:59:28.344914,00:59:28.344914,,,,,,,,00:59:28.342175,00:59:28.342288,00:59:28.342683
1,rejected,00:59:28.789798,00:59:28.789798,00:59:28.790234,00:59:28.790234,00:59:28.791480,00:59:28.791480,00:59:28.793530,00:59:28.793530,00:59:28.803180,00:59:28.803200,00:59:28.816864,00:59:28.816864,00:59:28.822622,00:59:28.827921,00:59:28.833280,00:59:28.791188,00:59:28.791264,00:59:28.790914
1,blocked,00:59:29.284380,00:59:29.284380,00:59:29.284926,00:59:29.284926,00:59:29.286543,00:59:29.286543,00:59:29.288308,00:59:29.288308,,,,,,,,00:59:29.285538,00:59:29.285634,00:59:29.285969
1,rejected,00:59:29.731212,00:59:29.731212,00:59:29.731767,00:59:29.731767,00:59:29.733442,00:59:29.733442,00:59:29.735185,00:59:29.735185,00:59:29.745078,00:59:29.745130,00:59:29.764209,00:59:29.764209,00:59:29.770995,00:59:29.779683,00:59:29.785928,00:59:29.733205,00:59:29.733338,00:59:29.732823
1,blocked,00:59:30.255425,00:59:30.255425,00:59:30.255878,00:59:30.255878,00:59:30.257751,00:59:30.257751,00:59:30.259471,00:59:30.259471,,,,,,,,00:59:30.256481,00:59:30.256591,00:59:30.256958
1,blocked,00:59:30.700571,00:59:30.700571,00:59:30.701129,00:59:30.701129,00:59:30.702623,00:59:30.702623,00:59:30.704168,00:59:30.704168,,,,,,,,00:59:30.701614,00:59:30.701719,00:59:30.702095
1,blocked,00:59:31.147478,00:59:31.147478,00:59:31.147911,00:59:31.147911,00:59:31.149503,00:59:31.149503,00:59:31.150922,00:59:31.150922,,,,,,,,00:59:31.148610,00:59:31.148717,00:59:31.148967
2,rejected,00:59:31.591343,00:59:31.591343,00:59:31.591682,00:59:31.591682,00:59:31.593127,00:59:31.593127,00:59:31.594847,00:59:31.594847,00:59:31.604291,00:59:31.604312,00:59:31.618423,00:59:31.618423,00:59:31.624146,00:59:31.630039,00:59:31.637509,00:59:31.593799,00:59:31.593881,00:59:31.592359
2,rejected,00:59:32.093814,00:59:32.093814,00:59:32.094258,00:59:32.094258,00:59:32.095517,00:59:32.095517,00:59:32.097087,00:59:32.097087,00:59:32.106602,00:59:32.106636,00:59:32.121337,00:59:32.121337,00:59:32.126893,00:59:32.131959,00:59:32.137334,00:59:32.096062,00:59:32.096192,00:59:32.094953
2,rejected,00:59:32.589956,00:59:32.589956,00:59:32.590432,00:59:32.590432,00:59:32.591703,00:59:32.591703,00:59:32.593303,00:59:32.593303,00:59:32.603444,00:59:32.603463,00:59:32.616701,00:59:32.616701,00:59:32.622146,00:59:32.627129,00:59:32.632211,00:59:32.592521,00:59:32.592614,00:59:32.591183
2,rejected,00:59:33.083778,00:59:33.083778,00:59:33.084217,00:59:33.084217,00:59:33.085623,00:59:33.085623,00:59:33.087320,00:59:33.087320,00:59:33.100082,00:59:33.100104,00:59:33.113417,00:59:33.113417,00:59:33.119367,00:59:33.124580,00:59:33.129748,00:59:33.086282,00:59:33.086386,00:59:33.084997
2,rejected,00:59:33.591967,00:59:33.591967,00:59:33.592482,00:59:33.592482,00:59:33.593861,00:59:33.593861,00:59:33.595585,00:59:33.595585,00:59:33.604996,00:59:33.605016,00:59:33.619570,00:59:33.619570,00:59:33.625074,00:59:33.630572,00:59:33.635540,00:59:33.594365,00:59:33.594452,00:59:33.593280
2,rejected,00:59:34.085127,00:59:34.085127,00:59:34.085554,00:59:34.085554,00:59:34.086826,00:59:34.086826,00:59:34.088572,00:59:34.088572,00:59:34.097942,00:59:34.097961,00:59:34.112292,00:59:34.112292,00:59:34.117987,00:59:34.123301,00:59:34.128564,00:59:34.087540,00:59:34.087663,00:59:34.086271
2,rejected,00:59:34.577862,00:59:34.577862,00:59:34.578383,00:59:34.578383,00:59:34.579660,00:59:34.579660,00:59:34.581600,00:59:34.581600,00:59:34.591247,00:59:34.591272,00:59:34.611509,00:59:34.611509,00:59:34.616941,00:59:34.621949,00:59:34.626921,00:59:34.580177,00:59:34.580264,00:59:34.579116
2,rejected,00:59:35.078440,00:59:35.078440,00:59:35.079017,00:59:35.079017,00:59:35.080344,00:59:35.080344,00:59:35.081994,00:59:35.081994,00:59:35.091830,00:59:35.091857,00:59:35.148323,00:59:35.148323,00:59:35.153768,00:59:35.158989,00:59:35.163784,00:59:35.080770,00:59:35.080891,00:59:35.079800
2,rejected,00:59:35.612717,00:59:35.612717,00:59:35.613093,00:59:35.613093,00:59:35.614409,00:59:35.614409,00:59:35.616211,00:59:35.616211,00:59:35.625742,00:59:35.625768,00:59:35.639033,00:59:35.639033,00:59:35.644689,00:59:35.649804,00:59:35.655176,00:59:35.615276,00:59:35.615360,00:59:35.613830
2,rejected,00:59:36.107735,00:59:36.107735,00:59:36.108126,00:59:36.108126,00:59:36.109335,00:59:36.109335,00:59:36.110991,00:59:36.110991,00:59:36.120264,00:59:36.120290,00:59:36.133785,00:59:36.133785,00:59:36.139281,00:59:36.144659,00:59:36.149770,00:59:36.110323,00:59:36.110421,00:59:36.108801
4,rejected,00:59:36.601212,00:59:36.601212,00:59:36.601603,00:59:36.601603,00:59:36.602892,00:59:36.602892,00:59:36.604422,00:59:36.604422,00:59:36.618037,00:59:36.618061,00:59:36.631107,00:59:36.631107,00:59:36.636396,00:59:36.641526,00:59:36.647029,00:59:36.605229,00:59:36.605498,00:59:36.602361
4,rejected,00:59:37.097869,00:59:37.097869,00:59:37.098263,00:59:37.098263,00:59:37.099592,00:59:37.099592,00:59:37.101638,00:59:37.101638,00:59:37.111732,00:59:37.111763,00:59:37.124927,00:59:37.124927,00:59:37.130487,00:59:37.135764,00:59:37.140706,00:59:37.102149,00:59:37.102253,00:59:37.099013
4,rejected,00:59:37.589729,00:59:37.589729,00:59:37.590174,00:59:37.590174,00:59:37.591578,00:59:37.591578,00:59:37.593411,00:59:37.593411,00:59:37.607539,00:59:37.607562,00:59:37.620553,00:59:37.620553,00:59:37.625979,00:59:37.631191,00:59:37.636591,00:59:37.594185,00:59:37.594286,00:59:37.590950
4,rejected,00:59:38.095103,00:59:38.095103,00:59:38.095931,00:59:38.095931,00:59:38.097678,00:59:38.097678,00:59:38.099419,00:59:38.099419,00:59:38.110188,00:59:38.110228,00:59:38.124968,00:59:38.124968,00:59:38.131097,00:59:38.136259,00:59:38.141747,00:59:38.099090,00:59:38.099221,00:59:38.097008
4,rejected,00:59:38.595764,00:59:38.595764,00:59:38.596197,00:59:38.596197,00:59:38.597517,00:59:38.597517,00:59:38.599136,00:59:38.599136,00:59:38.613261,00:59:38.613302,00:59:38.628649,00:59:38.628649,00:59:38.634508,00:59:38.640131,00:59:38.648266,00:59:38.600388,00:59:38.600520,00:59:38.596965
4,rejected,00:59:39.112204,00:59:39.112204,00:59:39.112779,00:59:39.112779,00:59:39.114305,00:59:39.114305,00:59:39.116142,00:59:39.116142,00:59:39.126019,00:59:39.126050,00:59:39.139630,00:59:39.139630,00:59:39.145332,00:59:39.150681,00:59:39.156820,00:59:39.116245,00:59:39.116366,00:59:39.113592
4,rejected,00:59:39.615789,00:59:39.615789,00:59:39.616429,00:59:39.616429,00:59:39.618374,00:59:39.618374,00:59:39.620595,00:59:39.620595,00:59:39.633313,00:59:39.633377,00:59:39.654980,00:59:39.654980,00:59:39.662679,00:59:39.670304,00:59:39.678969,00:59:39.620436,00:59:39.620608,00:59:39.617522
4,rejected,00:59:40.186321,00:59:40.186321,00:59:40.186893,00:59:40.186893,00:59:40.188464,00:59:40.188464,00:59:40.190030,00:59:40.190030,00:59:40.204107,00:59:40.204143,00:59:40.217942,00:59:40.217942,00:59:40.223687,00:59:40.228997,00:59:40.234414,00:59:40.190693,00:59:40.190811,00:59:40.187715
4,rejected,00:59:40.691342,00:59:40.691342,00:59:40.691754,00:59:40.691754,00:59:40.693164,00:59:40.693164,00:59:40.694864,00:59:40.694864,00:59:40.709621,00:59:40.709659,00:59:40.724576,00:59:40.724576,00:59:40.730592,00:59:40.736167,00:59:40.741768,00:59:40.696084,00:59:40.696205,00:59:40.692548
4,rejected,00:59:41.193046,00:59:41.193046,00:59:41.193481,00:59:41.193481,00:59:41.194746,00:59:41.194746,00:59:41.196158,00:59:41.196158,00:59:41.210421,00:59:41.210445,00:59:41.231122,00:59:41.231122,00:59:41.236746,00:59:41.241838,00:59:41.247342,00:59:41.197314,00:59:41.197403,00:59:41.194152
8,rejected,00:59:41.700569,00:59:41.700569,00:59:41.701199,00:59:41.701199,00:59:41.702599,00:59:41.702599,00:59:41.704408,00:59:41.704408,00:59:41.720526,00:59:41.720560,00:59:41.734738,00:59:41.734738,00:59:41.740246,00:59:41.745447,00:59:41.751090,00:59:41.708805,00:59:41.709261,00:59:41.701999
8,rejected,00:59:42.206359,00:59:42.206359,00:59:42.206896,00:59:42.206896,00:59:42.208400,00:59:42.208400,00:59:42.210047,00:59:42.210047,00:59:42.223733,00:59:42.223757,00:59:42.236668,00:59:42.236668,00:59:42.242243,00:59:42.247854,00:59:42.253158,00:59:42.214552,00:59:42.214647,00:59:42.207626
8,rejected,00:59:42.704357,00:59:42.704357,00:59:42.704740,00:59:42.704740,00:59:42.706030,00:59:42.706030,00:59:42.707914,00:59:42.707914,00:59:42.722108,00:59:42.722133,00:59:42.735262,00:59:42.735262,00:59:42.740708,00:59:42.746484,00:59:42.751726,00:59:42.712575,00:59:42.712673,00:59:42.705481
8,rejected,00:59:43.203787,00:59:43.203787,00:59:43.204191,00:59:43.204191,00:59:43.205678,00:59:43.205678,00:59:43.207310,00:59:43.207310,00:59:43.221814,00:59:43.221840,00:59:43.235124,00:59:43.235124,00:59:43.240571,00:59:43.245748,00:59:43.250641,00:59:43.212248,00:59:43.212379,00:59:43.204899
8,rejected,00:59:43.701872,00:59:43.701872,00:59:43.702370,00:59:43.702370,00:59:43.703696,00:59:43.703696,00:59:43.705176,00:59:43.705176,00:59:43.715157,00:59:43.715180,00:59:43.728313,00:59:43.728313,00:59:43.733599,00:59:43.738902,00:59:43.743942,00:59:43.710273,00:59:43.710370,00:59:43.703141
8,rejected,00:59:44.197132,00:59:44.197132,00:59:44.197549,00:59:44.197549,00:59:44.199017,00:59:44.199017,00:59:44.200477,00:59:44.200477,00:59:44.209833,00:59:44.209867,00:59:44.223360,00:59:44.223360,00:59:44.228823,00:59:44.233807,00:59:44.239031,00:59:44.205656,00:59:44.205753,00:59:44.198395
8,rejected,00:59:44.693836,00:59:44.693836,00:59:44.694323,00:59:44.694323,00:59:44.695603,00:59:44.695603,00:59:44.697093,00:59:44.697093,00:59:44.711096,00:59:44.711120,00:59:44.724313,00:59:44.724313,00:59:44.729893,00:59:44.735117,00:59:44.740003,00:59:44.702113,00:59:44.702203,00:59:44.695024
8,rejected,00:59:45.191886,00:59:45.191886,00:59:45.192286,00:59:45.192286,00:59:45.193825,00:59:45.193825,00:59:45.195317,00:59:45.195317,00:59:45.212115,00:59:45.212147,00:59:45.225938,00:59:45.225938,00:59:45.231454,00:59:45.236508,00:59:45.242195,00:59:45.200176,00:59:45.200268,00:59:45.192962
8,rejected,00:59:45.695093,00:59:45.695093,00:59:45.695538,00:59:45.695538,00:59:45.696801,00:59:45.696801,00:59:45.698393,00:59:45.698393,00:59:45.707917,00:59:45.707937,00:59:45.721421,00:59:45.721421,00:59:45.726907,00:59:45.732234,00:59:45.737605,00:59:45.703551,00:59:45.703639,00:59:45.696265
8,rejected,00:59:46.205872,00:59:46.205872,00:59:46.206344,00:59:46.206344,00:59:46.207615,00:59:46.207615,00:59:46.209122,00:59:46.209122,00:59:46.218416,00:59:46.218437,00:59:46.231534,00:59:46.231534,00:59:46.236835,00:59:46.241909,00:59:46.247230,00:59:46.214274,00:59:46.214375,00:59:46.207079
16,rejected,00:59:46.700565,00:59:46.700565,00:59:46.701041,00:59:46.701041,00:59:46.702280,00:59:46.702280,00:59:46.704156,00:59:46.704156,00:59:46.714039,00:59:46.714084,00:59:46.727385,00:59:46.727385,00:59:46.732822,00:59:46.738011,00:59:46.742943,00:59:46.717086,00:59:46.717181,00:59:46.701751
16,rejected,00:59:47.196149,00:59:47.196149,00:59:47.196555,00:59:47.196555,00:59:47.197762,00:59:47.197762,00:59:47.199693,00:59:47.199693,00:59:47.210150,00:59:47.210173,00:59:47.230782,00:59:47.230782,00:59:47.236556,00:59:47.242171,00:59:47.247619,00:59:47.213008,00:59:47.213111,00:59:47.197253
16,rejected,00:59:47.702084,00:59:47.702084,00:59:47.702446,00:59:47.702446,00:59:47.704111,00:59:47.704111,00:59:47.705752,00:59:47.705752,00:59:47.715507,00:59:47.715534,00:59:47.729406,00:59:47.729406,00:59:47.735169,00:59:47.740527,00:59:47.746104,00:59:47.718793,00:59:47.718893,00:59:47.703236
16,rejected,00:59:48.203671,00:59:48.203671,00:59:48.204090,00:59:48.204090,00:59:48.205450,00:59:48.205450,00:59:48.207338,00:59:48.207338,00:59:48.216675,00:59:48.216696,00:59:48.229640,00:59:48.229640,00:59:48.235190,00:59:48.240388,00:59:48.245957,00:59:48.220390,00:59:48.220492,00:59:48.204905
16,rejected,00:59:48.701404,00:59:48.701404,00:59:48.701803,00:59:48.701803,00:59:48.703074,00:59:48.703074,00:59:48.704651,00:59:48.704651,00:59:48.714242,00:59:48.714265,00:59:48.727952,00:59:48.727952,00:59:48.733392,00:59:48.738821,00:59:48.744107,00:59:48.717904,00:59:48.718005,00:59:48.702528
16,rejected,00:59:49.201348,00:59:49.201348,00:59:49.201813,00:59:49.201813,00:59:49.203078,00:59:49.203078,00:59:49.204645,00:59:49.204645,00:59:49.214260,00:59:49.214283,00:59:49.227236,00:59:49.227236,00:59:49.232620,00:59:49.237472,00:59:49.242534,00:59:49.217575,00:59:49.217675,00:59:49.202585
16,rejected,00:59:49.703848,00:59:49.703848,00:59:49.704627,00:59:49.704627,00:59:49.706594,00:59:49.706594,00:59:49.708745,00:59:49.708745,00:59:49.720112,00:59:49.720155,00:59:49.742854,00:59:49.742854,00:59:49.753987,00:59:49.761229,00:59:49.769098,00:59:49.720601,00:59:49.720784,00:59:49.705757
