attacker_delay,outcome,attacker_start_time,Document_lookup_start,Document_lookup_end,Blob_fetch_start,Blob_fetch_end,Initial_sec_validation_start,Initial_sec_validation_end,Document_marked_safe_start,Document_marked_safe_end,Dispatch_to_agent_start,Dispatch_to_agent_end,LLM_inference_start,LLM_inference_end,Agent_retrieves_document_state_start,Agent_retrieves_document_state_end,Agent_retrieves_document_start,Agent_retrieves_document_end,attacker_modify_time,attacker_modify_done,blob_read_time
1,blocked,15:56:05.007119,15:56:05.007119,15:56:05.008078,15:56:05.008078,15:56:05.009579,15:56:05.009579,15:56:05.015725,15:56:05.015725,,,,,,,,,,15:56:05.008493,15:56:05.008641,15:56:05.009041
1,rejected,15:56:05.509752,15:56:05.509752,15:56:05.510177,15:56:05.510177,15:56:05.511443,15:56:05.511443,15:56:05.513069,15:56:05.513069,15:56:05.523023,15:56:05.523045,15:56:05.953796,15:56:05.957493,15:56:06.699259,15:56:06.699292,15:56:06.708206,15:56:06.714241,15:56:06.721183,15:56:05.511352,15:56:05.511438,15:56:05.510882
1,rejected,15:56:07.744562,15:56:07.744562,15:56:07.744967,15:56:07.744967,15:56:07.746229,15:56:07.746229,15:56:07.747771,15:56:07.747771,15:56:07.757073,15:56:07.757101,15:56:07.770766,15:56:07.773742,15:56:08.143492,15:56:08.143522,15:56:08.149646,15:56:08.155035,15:56:08.161118,15:56:07.745971,15:56:07.746060,15:56:07.745649
1,rejected,15:56:09.177263,15:56:09.177263,15:56:09.177694,15:56:09.177694,15:56:09.178905,15:56:09.178905,15:56:09.180454,15:56:09.180454,15:56:09.190098,15:56:09.190118,15:56:09.204099,15:56:09.207045,15:56:09.575985,15:56:09.576019,15:56:09.581908,15:56:09.587171,15:56:09.592223,15:56:09.178600,15:56:09.178685,15:56:09.178330
1,rejected,15:56:10.587696,15:56:10.587696,15:56:10.588076,15:56:10.588076,15:56:10.589173,15:56:10.589173,15:56:10.590610,15:56:10.590610,15:56:10.601044,15:56:10.601065,15:56:10.616250,15:56:10.619262,15:56:10.994930,15:56:10.994964,15:56:11.001177,15:56:11.006829,15:56:11.012493,15:56:10.589127,15:56:10.589206,15:56:10.588668
1,rejected,15:56:12.006462,15:56:12.006462,15:56:12.006864,15:56:12.006864,15:56:12.008153,15:56:12.008153,15:56:12.009846,15:56:12.009846,15:56:12.019416,15:56:12.019434,15:56:12.033846,15:56:12.036843,15:56:12.406175,15:56:12.406211,15:56:12.412162,15:56:12.417683,15:56:12.423128,15:56:12.008091,15:56:12.008183,15:56:12.007540
1,rejected,15:56:13.493104,15:56:13.493104,15:56:13.493521,15:56:13.493521,15:56:13.494946,15:56:13.494946,15:56:13.496528,15:56:13.496528,15:56:13.506368,15:56:13.506387,15:56:13.520097,15:56:13.523221,15:56:13.892014,15:56:13.892044,15:56:13.897923,15:56:13.903479,15:56:13.908761,15:56:13.494756,15:56:13.494884,15:56:13.494128
1,rejected,15:56:14.974768,15:56:14.974768,15:56:14.975128,15:56:14.975128,15:56:14.976352,15:56:14.976352,15:56:14.977815,15:56:14.977815,15:56:14.987512,15:56:14.987532,15:56:15.001230,15:56:15.004263,15:56:15.372997,15:56:15.373031,15:56:15.378964,15:56:15.384494,15:56:15.389641,15:56:14.976230,15:56:14.976312,15:56:14.975769
1,rejected,15:56:16.462011,15:56:16.462011,15:56:16.462448,15:56:16.462448,15:56:16.463702,15:56:16.463702,15:56:16.465119,15:56:16.465119,15:56:16.474401,15:56:16.474418,15:56:16.487996,15:56:16.491121,15:56:16.859473,15:56:16.859506,15:56:16.865295,15:56:16.870892,15:56:16.876018,15:56:16.463442,15:56:16.463540,15:56:16.463143
1,rejected,15:56:18.046520,15:56:18.046520,15:56:18.046968,15:56:18.046968,15:56:18.048154,15:56:18.048154,15:56:18.049633,15:56:18.049633,15:56:18.058806,15:56:18.058828,15:56:18.073006,15:56:18.076146,15:56:18.457426,15:56:18.457457,15:56:18.463720,15:56:18.469193,15:56:18.474571,15:56:18.047840,15:56:18.047915,15:56:18.047589
2,rejected,15:56:19.541143,15:56:19.541143,15:56:19.541509,15:56:19.541509,15:56:19.542715,15:56:19.542715,15:56:19.544225,15:56:19.544225,15:56:19.553401,15:56:19.553421,15:56:19.573181,15:56:19.576180,15:56:19.957492,15:56:19.957524,15:56:19.963719,15:56:19.968974,15:56:19.974228,15:56:19.543727,15:56:19.543828,15:56:19.542146
2,rejected,15:56:20.960389,15:56:20.960389,15:56:20.960835,15:56:20.960835,15:56:20.962618,15:56:20.962618,15:56:20.964550,15:56:20.964550,15:56:20.974315,15:56:20.974340,15:56:21.030139,15:56:21.033270,15:56:21.418575,15:56:21.418606,15:56:21.424418,15:56:21.429696,15:56:21.434961,15:56:20.962912,15:56:20.963019,15:56:20.961706
2,rejected,15:56:22.515979,15:56:22.515979,15:56:22.516312,15:56:22.516312,15:56:22.517322,15:56:22.517322,15:56:22.518722,15:56:22.518722,15:56:22.527879,15:56:22.527901,15:56:22.541361,15:56:22.544452,15:56:22.926423,15:56:22.926455,15:56:22.932655,15:56:22.938602,15:56:22.943976,15:56:22.518775,15:56:22.518935,15:56:22.516860
2,rejected,15:56:23.952176,15:56:23.952176,15:56:23.952530,15:56:23.952530,15:56:23.953586,15:56:23.953586,15:56:23.955045,15:56:23.955045,15:56:23.964229,15:56:23.964255,15:56:23.978004,15:56:23.981114,15:56:24.365115,15:56:24.365145,15:56:24.371696,15:56:24.377284,15:56:24.382731,15:56:23.954577,15:56:23.954659,15:56:23.953066
2,rejected,15:56:25.393295,15:56:25.393295,15:56:25.393608,15:56:25.393608,15:56:25.394755,15:56:25.394755,15:56:25.396552,15:56:25.396552,15:56:25.405715,15:56:25.405738,15:56:25.419024,15:56:25.421976,15:56:25.803544,15:56:25.803575,15:56:25.809473,15:56:25.814536,15:56:25.819596,15:56:25.395751,15:56:25.395839,15:56:25.394211
2,rejected,15:56:26.824700,15:56:26.824700,15:56:26.825041,15:56:26.825041,15:56:26.826171,15:56:26.826171,15:56:26.827675,15:56:26.827675,15:56:26.836734,15:56:26.836758,15:56:26.850075,15:56:26.853032,15:56:27.234184,15:56:27.234221,15:56:27.239998,15:56:27.245322,15:56:27.250587,15:56:26.826773,15:56:26.826857,15:56:26.825605
2,rejected,15:56:28.245797,15:56:28.245797,15:56:28.246161,15:56:28.246161,15:56:28.247290,15:56:28.247290,15:56:28.248660,15:56:28.248660,15:56:28.257741,15:56:28.257762,15:56:28.271113,15:56:28.274097,15:56:28.655447,15:56:28.655480,15:56:28.661280,15:56:28.666673,15:56:28.672126,15:56:28.247938,15:56:28.248024,15:56:28.246791
2,rejected,15:56:29.681529,15:56:29.681529,15:56:29.681854,15:56:29.681854,15:56:29.682887,15:56:29.682887,15:56:29.684379,15:56:29.684379,15:56:29.694024,15:56:29.694044,15:56:29.707302,15:56:29.710422,15:56:30.092297,15:56:30.092329,15:56:30.098247,15:56:30.103494,15:56:30.108753,15:56:29.684147,15:56:29.684265,15:56:29.682423
