attacker_delay,outcome,attacker_start_time,Document_lookup_start,Document_lookup_end,Blob_fetch_start,Blob_fetch_end,Initial_sec_validation_start,Initial_sec_validation_end,Document_marked_safe_start,Document_marked_safe_end,Dispatch_to_agent_start,Dispatch_to_agent_end,LLM_inference_start,LLM_inference_end,Agent_retrieves_document_state_start,Agent_retrieves_document_state_end,Agent_retrieves_document_start,Agent_retrieves_document_end,attacker_modify_time,attacker_modify_done,blob_read_time
1,blocked,03:10:40.321871,03:10:40.321871,03:10:40.323143,03:10:40.323143,03:10:40.324819,03:10:40.324819,03:10:40.334234,03:10:40.334234,,,,,,,,,,03:10:40.323135,03:10:40.323269,03:10:40.324019
1,blocked,03:10:40.793263,03:10:40.793263,03:10:40.793985,03:10:40.793985,03:10:40.795904,03:10:40.795904,03:10:40.797666,03:10:40.797666,,,,,,,,,,03:10:40.794669,03:10:40.794796,03:10:40.795207
1,rejected,03:10:41.253017,03:10:41.253017,03:10:41.253544,03:10:41.253544,03:10:41.255077,03:10:41.255077,03:10:41.257041,03:10:41.257041,03:10:41.267256,03:10:41.267285,03:10:42.127842,03:10:42.131685,03:10:50.435513,03:10:50.435548,03:10:50.444133,03:10:50.450807,03:10:50.458784,03:10:41.254664,03:10:41.254752,03:10:41.254343
1,rejected,03:10:51.486933,03:10:51.486933,03:10:51.487393,03:10:51.487393,03:10:51.488794,03:10:51.488794,03:10:51.491778,03:10:51.491778,03:10:51.501479,03:10:51.501509,03:10:51.516489,03:10:51.519939,03:10:51.900341,03:10:51.900372,03:10:51.906730,03:10:51.912469,03:10:51.918899,03:10:51.509527,03:10:51.509641,03:10:51.488178
1,rejected,03:10:52.922424,03:10:52.922424,03:10:52.922905,03:10:52.922905,03:10:52.924236,03:10:52.924236,03:10:52.926151,03:10:52.926151,03:10:52.936860,03:10:52.936887,03:10:52.951470,03:10:52.954469,03:10:53.338028,03:10:53.338063,03:10:53.344356,03:10:53.350021,03:10:53.356313,03:10:52.923997,03:10:52.924079,03:10:52.923715
1,rejected,03:10:54.407103,03:10:54.407103,03:10:54.407530,03:10:54.407530,03:10:54.409167,03:10:54.409167,03:10:54.411024,03:10:54.411024,03:10:54.420486,03:10:54.420509,03:10:54.434774,03:10:54.438144,03:10:54.820577,03:10:54.820610,03:10:54.826964,03:10:54.832884,03:10:54.838878,03:10:54.408737,03:10:54.408831,03:10:54.408298
1,blocked,03:10:55.852920,03:10:55.852920,03:10:55.853395,03:10:55.853395,03:10:55.855769,03:10:55.855769,03:10:55.858290,03:10:55.858290,,,,,,,,,,03:10:55.854218,03:10:55.854441,03:10:55.854897
1,rejected,03:10:56.328310,03:10:56.328310,03:10:56.328775,03:10:56.328775,03:10:56.330429,03:10:56.330429,03:10:56.332194,03:10:56.332194,03:10:56.341605,03:10:56.341630,03:10:56.357786,03:10:56.361053,03:10:56.744311,03:10:56.744350,03:10:56.750537,03:10:56.756436,03:10:56.762142,03:10:56.329836,03:10:56.329918,03:10:56.329558
1,rejected,03:10:57.783070,03:10:57.783070,03:10:57.783548,03:10:57.783548,03:10:57.784968,03:10:57.784968,03:10:57.786730,03:10:57.786730,03:10:57.796385,03:10:57.796415,03:10:57.811561,03:10:57.814713,03:10:58.197310,03:10:58.197343,03:10:58.203490,03:10:58.208891,03:10:58.214408,03:10:57.784660,03:10:57.784745,03:10:57.784372
1,rejected,03:10:59.221798,03:10:59.221798,03:10:59.222260,03:10:59.222260,03:10:59.223900,03:10:59.223900,03:10:59.225542,03:10:59.225542,03:10:59.235474,03:10:59.235517,03:10:59.253345,03:10:59.256656,03:10:59.638497,03:10:59.638536,03:10:59.644902,03:10:59.650563,03:10:59.655992,03:10:59.223390,03:10:59.223480,03:10:59.223036
1,rejected,03:11:00.665186,03:11:00.665186,03:11:00.665645,03:11:00.665645,03:11:00.667130,03:11:00.667130,03:11:00.668705,03:11:00.668705,03:11:00.680555,03:11:00.680585,03:11:00.695367,03:11:00.698456,03:11:01.078967,03:11:01.079002,03:11:01.085567,03:11:01.091378,03:11:01.097246,03:11:00.666770,03:11:00.666872,03:11:00.666466
1,rejected,03:11:02.116649,03:11:02.116649,03:11:02.117098,03:11:02.117098,03:11:02.118484,03:11:02.118484,03:11:02.119946,03:11:02.119946,03:11:02.130459,03:11:02.130485,03:11:02.144981,03:11:02.148224,03:11:02.529231,03:11:02.529263,03:11:02.535256,03:11:02.540713,03:11:02.546266,03:11:02.118221,03:11:02.118306,03:11:02.117916
1,rejected,03:11:03.552880,03:11:03.552880,03:11:03.553400,03:11:03.553400,03:11:03.555068,03:11:03.555068,03:11:03.556746,03:11:03.556746,03:11:03.566410,03:11:03.566436,03:11:03.587222,03:11:03.590406,03:11:03.978455,03:11:03.978486,03:11:03.984835,03:11:03.990618,03:11:04.000062,03:11:03.554504,03:11:03.554616,03:11:03.554207
