attacker_delay,outcome,attacker_start_time,Document_lookup_start,Document_lookup_end,Blob_fetch_start,Blob_fetch_end,Initial_sec_validation_start,Initial_sec_validation_end,Document_marked_safe_start,Document_marked_safe_end,Dispatch_to_agent_start,Dispatch_to_agent_end,Agent_retrieves_document_state_start,Agent_retrieves_document_state_end,Agent_retrieves_document_start,Agent_retrieves_document_end,attacker_modify_time,attacker_modify_done,blob_read_time
10,safe,01:29:16.031444,01:29:16.031444,01:29:16.031991,01:29:16.031991,01:29:16.033676,01:29:16.033676,01:29:16.036594,01:29:16.036594,01:29:16.045909,01:29:16.045934,01:29:16.063120,01:29:16.063120,01:29:16.070886,01:29:16.076185,01:29:16.081731,01:29:16.041641,01:29:16.041767,01:29:16.032776
10,safe,01:29:28.911017,01:29:28.911017,01:29:28.911486,01:29:28.911486,01:29:28.912724,01:29:28.912724,01:29:28.914798,01:29:28.914798,01:29:28.924233,01:29:28.924257,01:29:28.937576,01:29:28.937576,01:29:28.944265,01:29:28.949434,01:29:28.954987,01:29:28.941978,01:29:28.942108,01:29:28.912231
10,safe,01:29:33.801749,01:29:33.801749,01:29:33.802187,01:29:33.802187,01:29:33.803435,01:29:33.803435,01:29:33.804752,01:29:33.804752,01:29:33.813969,01:29:33.813990,01:29:33.827962,01:29:33.827962,01:29:33.834032,01:29:33.839284,01:29:33.844292,01:29:33.812082,01:29:33.812186,01:29:33.802861
10,safe,01:29:38.800598,01:29:38.800598,01:29:38.801013,01:29:38.801013,01:29:38.802359,01:29:38.802359,01:29:38.803919,01:29:38.803919,01:29:38.813326,01:29:38.813349,01:29:38.828141,01:29:38.828141,01:29:38.834298,01:29:38.840098,01:29:38.846143,01:29:38.811084,01:29:38.811185,01:29:38.801703
10,safe,01:29:43.552542,01:29:43.552542,01:29:43.552944,01:29:43.552944,01:29:43.554404,01:29:43.554404,01:29:43.556125,01:29:43.556125,01:29:43.566481,01:29:43.566506,01:29:43.580920,01:29:43.580920,01:29:43.586945,01:29:43.592581,01:29:43.598019,01:29:43.562801,01:29:43.562908,01:29:43.553759
10,safe,01:29:48.246561,01:29:48.246561,01:29:48.247129,01:29:48.247129,01:29:48.248432,01:29:48.248432,01:29:48.250011,01:29:48.250011,01:29:48.259277,01:29:48.259300,01:29:48.273695,01:29:48.273695,01:29:48.280545,01:29:48.287280,01:29:48.295277,01:29:48.257056,01:29:48.257152,01:29:48.247881
10,safe,01:29:52.908436,01:29:52.908436,01:29:52.908785,01:29:52.908785,01:29:52.909962,01:29:52.909962,01:29:52.911624,01:29:52.911624,01:29:52.921408,01:29:52.921431,01:29:52.942868,01:29:52.942868,01:29:52.948728,01:29:52.954077,01:29:52.959566,01:29:52.918913,01:29:52.919018,01:29:52.909444
10,safe,01:29:57.590570,01:29:57.590570,01:29:57.590981,01:29:57.590981,01:29:57.592245,01:29:57.592245,01:29:57.594059,01:29:57.594059,01:29:57.603309,01:29:57.603334,01:29:57.662394,01:29:57.662394,01:29:57.667702,01:29:57.672958,01:29:57.678075,01:29:57.600976,01:29:57.601079,01:29:57.591723
10,safe,01:30:02.361742,01:30:02.361742,01:30:02.362417,01:30:02.362417,01:30:02.363947,01:30:02.363947,01:30:02.366087,01:30:02.366087,01:30:02.377672,01:30:02.377730,01:30:02.396251,01:30:02.396251,01:30:02.403745,01:30:02.411848,01:30:02.418589,01:30:02.372758,01:30:02.372943,01:30:02.363322
10,leak,01:30:07.418043,01:30:07.418043,01:30:07.418452,01:30:07.418452,01:30:07.419801,01:30:07.419801,01:30:07.422452,01:30:07.422452,01:30:07.458932,01:30:07.458967,01:30:07.472589,01:30:07.472589,01:30:07.478224,01:30:07.483237,01:30:07.488715,01:30:07.443945,01:30:07.444072,01:30:07.419217
