attacker_delay,outcome,attacker_start_time,Document_lookup_start,Document_lookup_end,Blob_fetch_start,Blob_fetch_end,Initial_sec_validation_start,Initial_sec_validation_end,Document_marked_safe_start,Document_marked_safe_end,Dispatch_to_agent_start,Dispatch_to_agent_end,LLM_inference_start,LLM_inference_end,Agent_retrieves_document_state_start,Agent_retrieves_document_state_end,Agent_retrieves_document_start,Agent_retrieves_document_end,attacker_modify_time,attacker_modify_done,blob_read_time
1,safe,14:34:07.223047,14:34:07.223047,14:34:07.223438,14:34:07.223438,14:34:07.224776,14:34:07.224776,14:34:07.226989,14:34:07.226989,14:34:07.236577,14:34:07.236599,14:34:07.250456,14:34:07.270891,14:34:07.720269,14:34:07.250469,14:34:07.256508,14:34:07.261555,14:34:07.267041,14:34:07.224529,14:34:07.224624,14:34:07.224183
1,leak,14:34:12.215144,14:34:12.215144,14:34:12.215530,14:34:12.215530,14:34:12.216720,14:34:12.216720,14:34:12.218140,14:34:12.218140,14:34:12.227660,14:34:12.227680,14:34:12.241513,14:34:12.260673,14:34:12.732471,14:34:12.241525,14:34:12.246961,14:34:12.251695,14:34:12.256910,14:34:12.216449,14:34:12.216523,14:34:12.216162
1,safe,14:34:15.545704,14:34:15.545704,14:34:15.546104,14:34:15.546104,14:34:15.547356,14:34:15.547356,14:34:15.548779,14:34:15.548779,14:34:15.558616,14:34:15.558641,14:34:15.571967,14:34:15.590827,14:34:16.056778,14:34:15.571979,14:34:15.577348,14:34:15.582379,14:34:15.587204,14:34:15.547107,14:34:15.547183,14:34:15.546797
1,leak,14:34:20.460905,14:34:20.460905,14:34:20.461270,14:34:20.461270,14:34:20.462385,14:34:20.462385,14:34:20.463787,14:34:20.463787,14:34:20.472995,14:34:20.473012,14:34:20.486611,14:34:20.506072,14:34:20.981774,14:34:20.486623,14:34:20.491991,14:34:20.497317,14:34:20.502180,14:34:20.462375,14:34:20.462471,14:34:20.461876
1,safe,14:34:23.452628,14:34:23.452628,14:34:23.453029,14:34:23.453029,14:34:23.454202,14:34:23.454202,14:34:23.455855,14:34:23.455855,14:34:23.465054,14:34:23.465072,14:34:23.480034,14:34:23.498961,14:34:23.962439,14:34:23.480047,14:34:23.485405,14:34:23.490275,14:34:23.495168,14:34:23.453990,14:34:23.454100,14:34:23.453665
1,safe,14:34:28.328905,14:34:28.328905,14:34:28.329336,14:34:28.329336,14:34:28.330595,14:34:28.330595,14:34:28.331925,14:34:28.331925,14:34:28.342401,14:34:28.342423,14:34:28.356249,14:34:28.375553,14:34:28.849187,14:34:28.356262,14:34:28.361564,14:34:28.366441,14:34:28.371779,14:34:28.330515,14:34:28.330598,14:34:28.330023
1,safe,14:34:33.063839,14:34:33.063839,14:34:33.064242,14:34:33.064242,14:34:33.065467,14:34:33.065467,14:34:33.066937,14:34:33.066937,14:34:33.076137,14:34:33.076158,14:34:33.089919,14:34:33.109065,14:34:33.578506,14:34:33.089933,14:34:33.095395,14:34:33.100464,14:34:33.105439,14:34:33.065148,14:34:33.065226,14:34:33.064874
1,safe,14:34:38.008902,14:34:38.008902,14:34:38.009246,14:34:38.009246,14:34:38.010470,14:34:38.010470,14:34:38.011880,14:34:38.011880,14:34:38.021161,14:34:38.021186,14:34:38.042416,14:34:38.061821,14:34:38.536907,14:34:38.042429,14:34:38.047747,14:34:38.052903,14:34:38.058111,14:34:38.010168,14:34:38.010252,14:34:38.009876
1,safe,14:34:43.041308,14:34:43.041308,14:34:43.041612,14:34:43.041612,14:34:43.042633,14:34:43.042633,14:34:43.044749,14:34:43.044749,14:34:43.054325,14:34:43.054345,14:34:43.110552,14:34:43.129777,14:34:43.599699,14:34:43.110564,14:34:43.116029,14:34:43.121085,14:34:43.125870,14:34:43.066172,14:34:43.066320,14:34:43.042154
1,safe,14:34:47.817366,14:34:47.817366,14:34:47.817721,14:34:47.817721,14:34:47.818898,14:34:47.818898,14:34:47.820279,14:34:47.820279,14:34:47.830572,14:34:47.830601,14:34:47.844377,14:34:47.863893,14:34:48.336867,14:34:47.844390,14:34:47.849870,14:34:47.854978,14:34:47.859986,14:34:47.818591,14:34:47.818681,14:34:47.818306
2,leak,14:34:52.457586,14:34:52.457586,14:34:52.457931,14:34:52.457931,14:34:52.459166,14:34:52.459166,14:34:52.460704,14:34:52.460704,14:34:52.470172,14:34:52.470199,14:34:52.483586,14:34:52.502550,14:34:52.976827,14:34:52.483600,14:34:52.488670,14:34:52.493550,14:34:52.498508,14:34:52.459760,14:34:52.459843,14:34:52.458609
2,safe,14:34:55.840044,14:34:55.840044,14:34:55.840403,14:34:55.840403,14:34:55.841501,14:34:55.841501,14:34:55.843034,14:34:55.843034,14:34:55.852190,14:34:55.852218,14:34:55.865953,14:34:55.886031,14:34:56.352926,14:34:55.865967,14:34:55.871912,14:34:55.877158,14:34:55.882010,14:34:55.842638,14:34:55.842749,14:34:55.840962
2,safe,14:35:00.368411,14:35:00.368411,14:35:00.368744,14:35:00.368744,14:35:00.369942,14:35:00.369942,14:35:00.371741,14:35:00.371741,14:35:00.380932,14:35:00.380955,14:35:00.395476,14:35:00.414957,14:35:00.888334,14:35:00.395489,14:35:00.400909,14:35:00.406050,14:35:00.411041,14:35:00.371026,14:35:00.371120,14:35:00.369422
