attacker_delay,outcome,attacker_start_time,Document_lookup_start,Document_lookup_end,Blob_fetch_start,Blob_fetch_end,Initial_sec_validation_start,Initial_sec_validation_end,Document_marked_safe_start,Document_marked_safe_end,Dispatch_to_agent_start,Dispatch_to_agent_end,LLM_inference_start,LLM_inference_end,Agent_retrieves_document_state_start,Agent_retrieves_document_state_end,Agent_retrieves_document_start,Agent_retrieves_document_end,attacker_modify_time,attacker_modify_done,blob_read_time
1,blocked,15:40:48.853181,15:40:48.853181,15:40:48.854117,15:40:48.854117,15:40:48.855605,15:40:48.855605,15:40:48.862053,15:40:48.862053,,,,,,,,,,15:40:48.854355,15:40:48.854500,15:40:48.854936
1,safe,15:40:49.365598,15:40:49.365598,15:40:49.365998,15:40:49.365998,15:40:49.367219,15:40:49.367219,15:40:49.368713,15:40:49.368713,15:40:49.378420,15:40:49.378438,15:40:49.822500,15:40:49.848767,15:40:50.639509,15:40:49.831281,15:40:49.837383,15:40:49.837404,15:40:49.843696,15:40:49.367329,15:40:49.367433,15:40:49.366660
1,leak,15:40:54.818318,15:40:54.818318,15:40:54.818713,15:40:54.818713,15:40:54.820262,15:40:54.820262,15:40:54.822960,15:40:54.822960,15:40:54.833065,15:40:54.833089,15:40:54.844932,15:40:54.864888,15:40:55.331292,15:40:54.850450,15:40:54.855576,15:40:54.855597,15:40:54.860695,15:40:54.820662,15:40:54.820807,15:40:54.819326
1,safe,15:40:58.269512,15:40:58.269512,15:40:58.270072,15:40:58.270072,15:40:58.271404,15:40:58.271404,15:40:58.273860,15:40:58.273860,15:40:58.283054,15:40:58.283075,15:40:58.299707,15:40:58.319303,15:40:58.785174,15:40:58.305491,15:40:58.310418,15:40:58.310439,15:40:58.315538,15:40:58.271081,15:40:58.271178,15:40:58.270758
1,safe,15:41:03.319160,15:41:03.319160,15:41:03.319464,15:41:03.319464,15:41:03.320748,15:41:03.320748,15:41:03.323064,15:41:03.323064,15:41:03.333172,15:41:03.333202,15:41:03.345261,15:41:03.364707,15:41:03.833383,15:41:03.350731,15:41:03.355636,15:41:03.355655,15:41:03.360877,15:41:03.341237,15:41:03.341335,15:41:03.320054
1,leak,15:41:08.206540,15:41:08.206540,15:41:08.206888,15:41:08.206888,15:41:08.208150,15:41:08.208150,15:41:08.209818,15:41:08.209818,15:41:08.219276,15:41:08.219296,15:41:08.233068,15:41:08.253474,15:41:08.716631,15:41:08.238472,15:41:08.243517,15:41:08.243536,15:41:08.248628,15:41:08.207962,15:41:08.208084,15:41:08.207597
1,safe,15:41:11.498284,15:41:11.498284,15:41:11.498672,15:41:11.498672,15:41:11.499819,15:41:11.499819,15:41:11.501216,15:41:11.501216,15:41:11.510385,15:41:11.510406,15:41:11.523777,15:41:11.543079,15:41:12.009848,15:41:11.529500,15:41:11.534602,15:41:11.534620,15:41:11.539331,15:41:11.499569,15:41:11.499655,15:41:11.499295
1,safe,15:41:16.858238,15:41:16.858238,15:41:16.858742,15:41:16.858742,15:41:16.860254,15:41:16.860254,15:41:16.863283,15:41:16.863283,15:41:16.873430,15:41:16.873457,15:41:16.889510,15:41:16.909310,15:41:17.379505,15:41:16.895137,15:41:16.900311,15:41:16.900330,15:41:16.905320,15:41:16.871872,15:41:16.871974,15:41:16.859407
1,safe,15:41:21.899272,15:41:21.899272,15:41:21.899723,15:41:21.899723,15:41:21.901301,15:41:21.901301,15:41:21.903828,15:41:21.903828,15:41:21.913529,15:41:21.913557,15:41:21.928442,15:41:21.949363,15:41:22.424749,15:41:21.934143,15:41:21.939451,15:41:21.939474,15:41:21.945001,15:41:21.912475,15:41:21.912604,15:41:21.900516
1,safe,15:41:26.877432,15:41:26.877432,15:41:26.877751,15:41:26.877751,15:41:26.878979,15:41:26.878979,15:41:26.880388,15:41:26.880388,15:41:26.889585,15:41:26.889605,15:41:26.903479,15:41:26.922514,15:41:27.392833,15:41:26.908903,15:41:26.914049,15:41:26.914068,15:41:26.918736,15:41:26.878769,15:41:26.878866,15:41:26.878409
2,safe,15:41:32.177694,15:41:32.177694,15:41:32.178026,15:41:32.178026,15:41:32.179099,15:41:32.179099,15:41:32.181280,15:41:32.181280,15:41:32.190468,15:41:32.190488,15:41:32.210146,15:41:32.229773,15:41:32.707599,15:41:32.215878,15:41:32.220679,15:41:32.220696,15:41:32.225642,15:41:32.191200,15:41:32.191327,15:41:32.178600
2,safe,15:41:37.474577,15:41:37.474577,15:41:37.474950,15:41:37.474950,15:41:37.476089,15:41:37.476089,15:41:37.478222,15:41:37.478222,15:41:37.488175,15:41:37.488203,15:41:37.546328,15:41:37.566135,15:41:38.035457,15:41:37.551852,15:41:37.557298,15:41:37.557314,15:41:37.562442,15:41:37.497890,15:41:37.497983,15:41:37.475542
2,safe,15:41:42.530577,15:41:42.530577,15:41:42.531364,15:41:42.531364,15:41:42.533892,15:41:42.533892,15:41:42.537447,15:41:42.537447,15:41:42.547723,15:41:42.547763,15:41:42.565481,15:41:42.591036,15:41:43.069386,15:41:42.573739,15:41:42.580182,15:41:42.580206,15:41:42.586620,15:41:42.545486,15:41:42.545703,15:41:42.532675
2,safe,15:41:47.549817,15:41:47.549817,15:41:47.550168,15:41:47.550168,15:41:47.551300,15:41:47.551300,15:41:47.553738,15:41:47.553738,15:41:47.562995,15:41:47.563023,15:41:47.576279,15:41:47.595513,15:41:48.063703,15:41:47.581660,15:41:47.586725,15:41:47.586744,15:41:47.591866,15:41:47.568872,15:41:47.568987,15:41:47.550750
2,leak,15:41:52.558335,15:41:52.558335,15:41:52.558730,15:41:52.558730,15:41:52.560668,15:41:52.560668,15:41:52.563613,15:41:52.563613,15:41:52.573613,15:41:52.573660,15:41:52.592908,15:41:52.619676,15:41:53.100981,15:41:52.600875,15:41:52.607997,15:41:52.608024,15:41:52.614016,15:41:52.560956,15:41:52.561115,15:41:52.559653
2,safe,15:41:55.945325,15:41:55.945325,15:41:55.945711,15:41:55.945711,15:41:55.947123,15:41:55.947123,15:41:55.948647,15:41:55.948647,15:41:55.958126,15:41:55.958156,15:41:55.973381,15:41:55.995611,15:41:56.472287,15:41:55.979655,15:41:55.985179,15:41:55.985204,15:41:55.991160,15:41:55.947594,15:41:55.947702,15:41:55.946513
2,safe,15:42:00.839529,15:42:00.839529,15:42:00.839882,15:42:00.839882,15:42:00.841189,15:42:00.841189,15:42:00.843081,15:42:00.843081,15:42:00.852602,15:42:00.852624,15:42:00.865790,15:42:00.885728,15:42:01.354258,15:42:00.871672,15:42:00.876785,15:42:00.876805,15:42:00.881888,15:42:00.842342,15:42:00.842491,15:42:00.840598
2,safe,15:42:05.868926,15:42:05.868926,15:42:05.869252,15:42:05.869252,15:42:05.870760,15:42:05.870760,15:42:05.873295,15:42:05.873295,15:42:05.883020,15:42:05.883039,15:42:05.895915,15:42:05.915653,15:42:06.385283,15:42:05.901317,15:42:05.906695,15:42:05.906717,15:42:05.911811,15:42:05.872284,15:42:05.872434,15:42:05.869944
2,safe,15:42:10.896672,15:42:10.896672,15:42:10.897047,15:42:10.897047,15:42:10.898225,15:42:10.898225,15:42:10.900480,15:42:10.900480,15:42:10.909794,15:42:10.909812,15:42:10.922838,15:42:10.942973,15:42:11.411386,15:42:10.928501,15:42:10.933731,15:42:10.933753,15:42:10.939016,15:42:10.921119,15:42:10.921220,15:42:10.897640
2,safe,15:42:15.808600,15:42:15.808600,15:42:15.808971,15:42:15.808971,15:42:15.810157,15:42:15.810157,15:42:15.811721,15:42:15.811721,15:42:15.820934,15:42:15.820954,15:42:15.834374,15:42:15.854374,15:42:16.332831,15:42:15.840007,15:42:15.845204,15:42:15.845228,15:42:15.850508,15:42:15.810827,15:42:15.810916,15:42:15.809618
3,safe,15:42:20.596184,15:42:20.596184,15:42:20.596477,15:42:20.596477,15:42:20.597499,15:42:20.597499,15:42:20.599011,15:42:20.599011,15:42:20.613358,15:42:20.613381,15:42:20.626674,15:42:20.645532,15:42:21.111970,15:42:20.632094,15:42:20.636908,15:42:20.636928,15:42:20.641826,15:42:20.599754,15:42:20.600012,15:42:20.597027
3,safe,15:42:25.712305,15:42:25.712305,15:42:25.712852,15:42:25.712852,15:42:25.713992,15:42:25.713992,15:42:25.716725,15:42:25.716725,15:42:25.726357,15:42:25.726375,15:42:25.741530,15:42:25.761698,15:42:26.230954,15:42:25.747392,15:42:25.752488,15:42:25.752512,15:42:25.757587,15:42:25.739433,15:42:25.739600,15:42:25.713492
3,safe,15:42:30.325436,15:42:30.325436,15:42:30.325769,15:42:30.325769,15:42:30.326928,15:42:30.326928,15:42:30.328332,15:42:30.328332,15:42:30.337576,15:42:30.337607,15:42:30.351487,15:42:30.371238,15:42:30.839831,15:42:30.356822,15:42:30.362107,15:42:30.362131,15:42:30.367352,15:42:30.328623,15:42:30.328707,15:42:30.326394
3,safe,15:42:35.238125,15:42:35.238125,15:42:35.238628,15:42:35.238628,15:42:35.239853,15:42:35.239853,15:42:35.241265,15:42:35.241265,15:42:35.251178,15:42:35.251203,15:42:35.273070,15:42:35.291445,15:42:35.760455,15:42:35.278491,15:42:35.283225,15:42:35.283241,15:42:35.287887,15:42:35.241295,15:42:35.241383,15:42:35.239285
3,safe,15:42:39.842339,15:42:39.842339,15:42:39.842749,15:42:39.842749,15:42:39.843945,15:42:39.843945,15:42:39.845444,15:42:39.845444,15:42:39.857014,15:42:39.857032,15:42:39.870143,15:42:39.889400,15:42:40.359241,15:42:39.875629,15:42:39.880994,15:42:39.881009,15:42:39.885813,15:42:39.845563,15:42:39.845672,15:42:39.843430
